Name,Chamber,bioguide_id,State,District,Party,Vote for Other Party,Vote for Cosponsored Bill
Madeleine Dean,House,D000631,Pennsylvania,4,Democratic,1.0,1.0
Mary Gay Scanlon,House,S001205,Pennsylvania,5,Democratic,1.0,1.0
Chrissy Houlahan,House,H001085,Pennsylvania,6,Democratic,7.0,3.0
Ryan Mackenzie,House,M001230,Pennsylvania,7,Republican,0.0,7.0
Robert Bresnahan,House,B001327,Pennsylvania,8,Republican,0.0,7.0
Daniel Meuser,House,M001204,Pennsylvania,9,Republican,0.0,7.0
Scott Perry,House,P000605,Pennsylvania,10,Republican,0.0,7.0
Lloyd Smucker,House,S001199,Pennsylvania,11,Republican,0.0,7.0
Summer L. Lee,House,L000602,Pennsylvania,12,Democratic,1.0,1.0
John Joyce,House,J000302,Pennsylvania,13,Republican,0.0,7.0
Guy Reschenthaler,House,R000610,Pennsylvania,14,Republican,0.0,7.0
Glenn Thompson,House,T000467,Pennsylvania,15,Republican,0.0,7.0
Mike Kelly,House,K000376,Pennsylvania,16,Republican,0.0,7.0
Christopher R. Deluzio,House,D000530,Pennsylvania,17,Democratic,4.0,3.0
John Fetterman,Senate,F000479,Pennsylvania,,Democratic,2.0,2.0
David McCormick,Senate,M001243,Pennsylvania,,Republican,0.0,3.0
Pablo Hernández,House,H001103,Puerto Rico,At Large,Democratic,0.0,0.0
Gabe Amo,House,A000380,Rhode Island,1,Democratic,2.0,2.0
Seth Magaziner,House,M001223,Rhode Island,2,Democratic,6.0,3.0
Jack Reed,Senate,R000122,Rhode Island,,Democratic,1.0,1.0
Sheldon Whitehouse,Senate,W000802,Rhode Island,,Democratic,1.0,1.0
Nancy Mace,House,M000194,South Carolina,1,Republican,0.0,7.0
Joe Wilson,House,W000795,South Carolina,2,Republican,0.0,7.0
Sheri Biggs,House,B001325,South Carolina,3,Republican,0.0,7.0
William R. Timmons,House,T000480,South Carolina,4,Republican,0.0,7.0
Ralph Norman,House,N000190,South Carolina,5,Republican,0.0,7.0
James E. Clyburn,House,C000537,South Carolina,6,Democratic,3.0,2.0
Russell Fry,House,F000478,South Carolina,7,Republican,0.0,7.0
Lindsey Graham,Senate,G000359,South Carolina,,Republican,0.0,3.0
Tim Scott,Senate,S001184,South Carolina,,Republican,0.0,0.0
Dusty Johnson,House,J000301,South Dakota,At Large,Republican,0.0,7.0
Mike Rounds,Senate,R000605,South Dakota,,Republican,0.0,3.0
John Thune,Senate,T000250,South Dakota,,Republican,0.0,3.0
Diana Harshbarger,House,H001086,Tennessee,1,Republican,0.0,7.0
Tim Burchett,House,B001309,Tennessee,2,Republican,0.0,7.0
"Charles J. ""Chuck"" Fleischmann",House,F000459,Tennessee,3,Republican,0.0,7.0
Scott DesJarlais,House,D000616,Tennessee,4,Republican,0.0,6.0
Andrew Ogles,House,O000175,Tennessee,5,Republican,0.0,6.0
John W. Rose,House,R000612,Tennessee,6,Republican,0.0,7.0
Mark E. Green,House,G000590,Tennessee,7,Republican,0.0,7.0
David Kustoff,House,K000392,Tennessee,8,Republican,0.0,7.0
Steve Cohen,House,C001068,Tennessee,9,Democratic,4.0,3.0
Marsha Blackburn,Senate,B001243,Tennessee,,Republican,0.0,3.0
Bill Hagerty,Senate,H000601,Tennessee,,Republican,0.0,3.0
Nathaniel Moran,House,M001224,Texas,1,Republican,0.0,7.0
Dan Crenshaw,House,C001120,Texas,2,Republican,0.0,7.0
Keith Self,House,S001224,Texas,3,Republican,0.0,7.0
Pat Fallon,House,F000246,Texas,4,Republican,0.0,7.0
Lance Gooden,House,G000589,Texas,5,Republican,0.0,7.0
Jake Ellzey,House,E000071,Texas,6,Republican,0.0,7.0
Lizzie Fletcher,House,F000468,Texas,7,Democratic,2.0,1.0
Morgan Luttrell,House,L000603,Texas,8,Republican,0.0,7.0
Al Green,House,G000553,Texas,9,Democratic,1.0,1.0
Michael T. McCaul,House,M001157,Texas,10,Republican,0.0,6.0
August Pfluger,House,P000048,Texas,11,Republican,0.0,7.0
Craig Goldman,House,G000601,Texas,12,Republican,0.0,7.0
Ronny Jackson,House,J000304,Texas,13,Republican,0.0,6.0
Randy K.  Weber,House,W000814,Texas,14,Republican,0.0,7.0
Monica De La Cruz,House,D000594,Texas,15,Republican,0.0,7.0
Veronica Escobar,House,E000299,Texas,16,Democratic,2.0,1.0
Pete Sessions,House,S000250,Texas,17,Republican,0.0,7.0
Jodey C. Arrington,House,A000375,Texas,19,Republican,0.0,7.0
Joaquin Castro,House,C001091,Texas,20,Democratic,2.0,1.0
Chip Roy,House,R000614,Texas,21,Republican,0.0,7.0
Troy E. Nehls,House,N000026,Texas,22,Republican,0.0,7.0
Tony Gonzales,House,G000594,Texas,23,Republican,0.0,7.0
Beth Van Duyne,House,V000134,Texas,24,Republican,0.0,7.0
Roger Williams,House,W000816,Texas,25,Republican,0.0,5.0
Brandon Gill,House,G000603,Texas,26,Republican,0.0,7.0
Michael Cloud,House,C001115,Texas,27,Republican,0.0,7.0
Henry Cuellar,House,C001063,Texas,28,Democratic,15.0,6.0
Sylvia R. Garcia,House,G000587,Texas,29,Democratic,1.0,1.0
Jasmine Crockett,House,C001130,Texas,30,Democratic,1.0,1.0
John R. Carter,House,C001051,Texas,31,Republican,0.0,7.0
Julie Johnson,House,J000310,Texas,32,Democratic,5.0,2.0
Marc A. Veasey,House,V000131,Texas,33,Democratic,6.0,3.0
Vicente Gonzalez,House,G000581,Texas,34,Democratic,10.0,5.0
Greg Casar,House,C001131,Texas,35,Democratic,1.0,1.0
Brian Babin,House,B001291,Texas,36,Republican,0.0,7.0
Lloyd Doggett,House,D000399,Texas,37,Democratic,1.0,1.0
Wesley Hunt,House,H001095,Texas,38,Republican,0.0,7.0
John Cornyn,Senate,C001056,Texas,,Republican,0.0,3.0
Ted Cruz,Senate,C001098,Texas,,Republican,0.0,3.0
Blake D. Moore,House,M001213,Utah,1,Republican,0.0,7.0
Celeste Maloy,House,M001228,Utah,2,Republican,0.0,7.0
Mike Kennedy,House,K000403,Utah,3,Republican,0.0,7.0
Burgess Owens,House,O000086,Utah,4,Republican,0.0,7.0
John R. Curtis,Senate,C001114,Utah,,Republican,0.0,3.0
Mike Lee,Senate,L000577,Utah,,Republican,0.0,3.0
Becca Balint,House,B001318,Vermont,At Large,Democratic,1.0,1.0
Bernard Sanders,Senate,S000033,Vermont,,Independent,0.0,0.0
Peter Welch,Senate,W000800,Vermont,,Democratic,0.0,0.0
Stacey E. Plaskett,House,P000610,Virgin Islands,At Large,Democratic,0.0,0.0
Robert J. Wittman,House,W000804,Virginia,1,Republican,0.0,7.0
Jennifer A. Kiggans,House,K000399,Virginia,2,Republican,0.0,7.0
"Robert C. ""Bobby"" Scott",House,S000185,Virginia,3,Democratic,1.0,1.0
Jennifer L. McClellan,House,M001227,Virginia,4,Democratic,1.0,1.0
John McGuire,House,M001239,Virginia,5,Republican,0.0,7.0
Ben Cline,House,C001118,Virginia,6,Republican,0.0,7.0
Eugene Vindman,House,V000138,Virginia,7,Democratic,8.0,5.0
Donald S. Beyer,House,B001292,Virginia,8,Democratic,1.0,1.0
H. Morgan Griffith,House,G000568,Virginia,9,Republican,0.0,7.0
Suhas Subramanyam,House,S001230,Virginia,10,Democratic,7.0,4.0
Gerald E. Connolly,House,C001078,Virginia,11,Democratic,2.0,1.0
Tim Kaine,Senate,K000384,Virginia,,Democratic,1.0,1.0
Mark R. Warner,Senate,W000805,Virginia,,Democratic,2.0,2.0
Suzan K. DelBene,House,D000617,Washington,1,Democratic,2.0,2.0
Rick Larsen,House,L000560,Washington,2,Democratic,2.0,2.0
Marie Gluesenkamp Perez,House,G000600,Washington,3,Democratic,12.0,6.0
Dan Newhouse,House,N000189,Washington,4,Republican,0.0,7.0
Michael Baumgartner,House,B001322,Washington,5,Republican,0.0,7.0
Emily Randall,House,R000621,Washington,6,Democratic,1.0,1.0
Pramila Jayapal,House,J000298,Washington,7,Democratic,1.0,1.0
Kim Schrier,House,S001216,Washington,8,Democratic,9.0,5.0
Adam Smith,House,S000510,Washington,9,Democratic,1.0,1.0
Marilyn Strickland,House,S001159,Washington,10,Democratic,2.0,2.0
Maria Cantwell,Senate,C000127,Washington,,Democratic,1.0,1.0
Patty Murray,Senate,M001111,Washington,,Democratic,1.0,1.0
Carol D. Miller,House,M001205,West Virginia,1,Republican,0.0,7.0
Riley Moore,House,M001235,West Virginia,2,Republican,0.0,7.0
Shelley Moore Capito,Senate,C001047,West Virginia,,Republican,0.0,3.0
James C. Justice,Senate,J000312,West Virginia,,Republican,0.0,3.0
Bryan Steil,House,S001213,Wisconsin,1,Republican,0.0,7.0
Mark Pocan,House,P000607,Wisconsin,2,Democratic,1.0,1.0
Derrick Van Orden,House,V000135,Wisconsin,3,Republican,0.0,7.0
Gwen Moore,House,M001160,Wisconsin,4,Democratic,1.0,1.0
Scott Fitzgerald,House,F000471,Wisconsin,5,Republican,0.0,7.0
Glenn Grothman,House,G000576,Wisconsin,6,Republican,0.0,7.0
Thomas P. Tiffany,House,T000165,Wisconsin,7,Republican,0.0,7.0
Tony Wied,House,W000829,Wisconsin,8,Republican,0.0,7.0
Tammy Baldwin,Senate,B001230,Wisconsin,,Democratic,1.0,1.0
Ron Johnson,Senate,J000293,Wisconsin,,Republican,0.0,3.0
Harriet M. Hageman,House,H001096,Wyoming,At Large,Republican,0.0,7.0
John Barrasso,Senate,B001261,Wyoming,,Republican,0.0,3.0
Cynthia M. Lummis,Senate,L000571,Wyoming,,Republican,0.0,3.0
